2018-03-06 23:59:58.999998,3436300,Выдача наличных денежных средств по УС 258469 за операционный цикл 04.03.2018 - 06.03.2018
2018-03-08 23:59:58.999998,2266200,Выдача наличных денежных средств по УС 258469 за операционный цикл 06.03.2018 - 08.03.2018
2018-03-12 23:59:58.999998,3058500,Выдача наличных денежных средств по УС 258469 за операционный цикл 08.03.2018 - 12.03.2018
2018-03-15 23:59:58.999998,3370900,Выдача наличных денежных средств по УС 258469 за операционный цикл 12.03.2018 - 15.03.2018
2018-03-16 23:59:58.999998,1183700,Выдача наличных денежных средств по УС 258469 за операционный цикл 15.03.2018 - 16.03.2018
2018-03-18 23:59:58.999998,1918100,Выдача наличных денежных средств по УС 258469 за операционный цикл 16.03.2018 - 18.03.2018
2018-03-19 23:59:58.999998,632000,Выдача наличных денежных средств по УС 258469 за операционный цикл 18.03.2018 - 19.03.2018
2018-03-20 23:59:58.999998,855400,Выдача наличных денежных средств по УС 258469 за операционный цикл 19.03.2018 - 20.03.2018
2018-03-21 23:59:58.999998,916500,Выдача наличных денежных средств по УС 258469 за операционный цикл 20.03.2018 - 21.03.2018
2018-03-22 23:59:58.999998,858600,Выдача наличных денежных средств по УС 258469 за операционный цикл 21.03.2018 - 22.03.2018
2018-03-23 23:59:58.999998,1094000,Выдача наличных денежных средств по УС 258469 за операционный цикл 22.03.2018 - 23.03.2018
2018-03-26 23:59:58.999998,2069700,Выдача наличных денежных средств по УС 258469 за операционный цикл 23.03.2018 - 26.03.2018
2018-03-26 23:59:58.999998,1201200,Выдача наличных денежных средств по УС 258469 за операционный цикл 26.03.2018 - 27.03.2018
2018-03-28 23:59:58.999998,1571000,Выдача наличных денежных средств по УС 258469 за операционный цикл 27.03.2018 - 28.03.2018
2018-03-29 23:59:58.999998,239900,Выдача наличных денежных средств по УС 258469 за операционный цикл 28.03.2018 - 29.03.2018
2018-03-29 23:59:58.999998,765400,Выдача наличных денежных средств по УС 258469 за операционный цикл 29.03.2018 - 30.03.2018
2018-04-02 23:59:58.999998,2331800,Выдача наличных денежных средств по УС 258469 за операционный цикл 30.03.2018 - 02.04.2018
2018-04-03 23:59:58.999998,1382400,Выдача наличных денежных средств по УС 258469 за операционный цикл 02.04.2018 - 03.04.2018
2018-04-04 23:59:58.999998,1032100,Выдача наличных денежных средств по УС 258469 за операционный цикл 03.04.2018 - 04.04.2018
2018-04-05 23:59:58.999998,1464200,Выдача наличных денежных средств по УС 258469 за операционный цикл 04.04.2018 - 05.04.2018
2018-04-07 23:59:58.999998,1354700,Выдача наличных денежных средств по УС 258469 за операционный цикл 05.04.2018 - 07.04.2018
2018-04-09 23:59:58.999998,943600,Выдача наличных денежных средств по УС 258469 за операционный цикл 07.04.2018 - 09.04.2018
2018-04-10 23:59:58.999998,1825200,Выдача наличных денежных средств по УС 258469 за операционный цикл 09.04.2018 - 10.04.2018
2018-04-10 23:59:58.999998,929300,Выдача наличных денежных средств по УС 258469 за операционный цикл 10.04.2018 - 12.04.2018
2018-04-13 23:59:58.999998,324100,Выдача наличных денежных средств по УС 258469 за операционный цикл 12.04.2018 - 13.04.2018
2018-04-15 23:59:58.999998,1476800,Выдача наличных денежных средств по УС 258469 за операционный цикл 13.04.2018 - 15.04.2018
2018-04-16 23:59:58.999998,854700,Выдача наличных денежных средств по УС 258469 за операционный цикл 15.04.2018 - 16.04.2018
2018-04-17 23:59:58.999998,1106300,Выдача наличных денежных средств по УС 258469 за операционный цикл 16.04.2018 - 17.04.2018
2018-04-18 23:59:58.999998,922200,Выдача наличных денежных средств по УС 258469 за операционный цикл 17.04.2018 - 18.04.2018
2018-04-19 23:59:58.999998,1862500,Выдача наличных денежных средств по УС 258469 за операционный цикл 18.04.2018 - 19.04.2018
2018-04-20 23:59:58.999998,756500,Выдача наличных денежных средств по УС 258469 за операционный цикл 19.04.2018 - 20.04.2018
2018-04-22 23:59:58.999998,2042400,Выдача наличных денежных средств по УС 258469 за операционный цикл 20.04.2018 - 22.04.2018
2018-04-23 23:59:58.999998,627200,Выдача наличных денежных средств по УС 258469 за операционный цикл 22.04.2018 - 23.04.2018
2018-04-24 23:59:58.999998,813100,Выдача наличных денежных средств по УС 258469 за операционный цикл 23.04.2018 - 24.04.2018
2018-04-25 23:59:58.999998,873300,Выдача наличных денежных средств по УС 258469 за операционный цикл 24.04.2018 - 25.04.2018
2018-04-26 23:59:58.999998,863500,Выдача наличных денежных средств по УС 258469 за операционный цикл 25.04.2018 - 26.04.2018
2018-04-27 23:59:58.999998,1348300,Выдача наличных денежных средств по УС 258469 за операционный цикл 26.04.2018 - 27.04.2018
2018-04-29 23:59:58.999998,2241000,Выдача наличных денежных средств по УС 258469 за операционный цикл 27.04.2018 - 29.04.2018
2018-05-02 23:59:58.999998,1177000,Выдача наличных денежных средств по УС 258469 за операционный цикл 29.04.2018 - 02.05.2018
2018-05-03 23:59:58.999998,331200,Выдача наличных денежных средств по УС 258469 за операционный цикл 02.05.2018 - 03.05.2018
2018-05-04 23:59:58.999998,921000,Выдача наличных денежных средств по УС 258469 за операционный цикл 03.05.2018 - 04.05.2018
2018-05-07 23:59:58.999998,2388000,Выдача наличных денежных средств по УС 258469 за операционный цикл 04.05.2018 - 07.05.2018
2018-05-08 23:59:58.999998,1043600,Выдача наличных денежных средств по УС 258469 за операционный цикл 07.05.2018 - 08.05.2018
2018-05-09 23:59:58.999998,1717200,Выдача наличных денежных средств по УС 258469 за операционный цикл 08.05.2018 - 09.05.2018
2018-05-10 23:59:58.999998,540400,Выдача наличных денежных средств по УС 258469 за операционный цикл 09.05.2018 - 10.05.2018
2018-05-11 23:59:58.999998,762000,Выдача наличных денежных средств по УС 258469 за операционный цикл 10.05.2018 - 11.05.2018
2018-05-14 23:59:58.999998,2424200,Выдача наличных денежных средств по УС 258469 за операционный цикл 11.05.2018 - 14.05.2018
2018-05-15 23:59:58.999998,1245600,Выдача наличных денежных средств по УС 258469 за операционный цикл 14.05.2018 - 15.05.2018
2018-05-16 23:59:58.999998,1338600,Выдача наличных денежных средств по УС 258469 за операционный цикл 15.05.2018 - 16.05.2018
2018-05-17 23:59:58.999998,1010900,Выдача наличных денежных средств по УС 258469 за операционный цикл 16.05.2018 - 17.05.2018
2018-05-18 23:59:58.999998,2500,Выдача наличных денежных средств по УС 258469 за операционный цикл 17.05.2018 - 18.05.2018
2018-05-20 23:59:58.999998,1878000,Выдача наличных денежных средств по УС 258469 за операционный цикл 18.05.2018 - 20.05.2018
2018-05-21 23:59:58.999998,223600,Выдача наличных денежных средств по УС 258469 за операционный цикл 20.05.2018 - 21.05.2018
2018-05-22 23:59:58.999998,956100,Выдача наличных денежных средств по УС 258469 за операционный цикл 21.05.2018 - 22.05.2018
2018-05-23 23:59:58.999998,1238200,Выдача наличных денежных средств по УС 258469 за операционный цикл 22.05.2018 - 23.05.2018
2018-05-24 23:59:58.999998,777600,Выдача наличных денежных средств по УС 258469 за операционный цикл 23.05.2018 - 24.05.2018
2018-05-25 23:59:58.999998,775800,Выдача наличных денежных средств по УС 258469 за операционный цикл 24.05.2018 - 25.05.2018
2018-05-29 23:59:58.999998,2219400,Выдача наличных денежных средств по УС 258469 за операционный цикл 25.05.2018 - 29.05.2018
2018-05-30 23:59:58.999998,972500,Выдача наличных денежных средств по УС 258469 за операционный цикл 29.05.2018 - 30.05.2018
2018-05-31 23:59:58.999998,932900,Выдача наличных денежных средств по УС 258469 за операционный цикл 30.05.2018 - 31.05.2018
2018-06-01 23:59:58.999998,1117900,Выдача наличных денежных средств по УС 258469 за операционный цикл 31.05.2018 - 01.06.2018
2018-06-02 23:59:58.999998,2712400,Выдача наличных денежных средств по УС 258469 за операционный цикл 01.06.2018 - 02.06.2018
